"date","year","month","yweekN","wday","wdayN","hl","tmp","ws","hr","sf","ppt","sun","hls","turnover"
"2017-01-02","2017","01",1,"Mo",1,,0.80583333333333,3.2804166666667,84.666666666667,0,3,188,"Christmas holidays",8275.69157
"2017-01-03","2017","01",1,"Di",2,,-2.0754166666667,1.7008333333333,85.125,0,0,390,"Christmas holidays",3915.02667
"2017-01-04","2017","01",1,"Mi",3,,-0.00375,10.35125,87,1,1.9,0,"Christmas holidays",2195.397
"2017-01-05","2017","01",1,"Do",4,,-2.39125,6.2020833333333,89.583333333333,1,1.4,275,"Christmas holidays",2272.40105
"2017-01-06","2017","01",1,"Fr",5,,-8,3.6716666666667,81.083333333333,0,0,522,"Christmas holidays",4914.95375
"2017-01-07","2017","01",1,"Sa",6,,-4.9075,1.9891666666667,72.375,0,0,55,"Christmas holidays",7549.33936
"2017-01-08","2017","01",1,"So",7,,-0.83541666666667,4.62875,93.75,1,4.8,0,,4602.86814
"2017-01-09","2017","01",2,"Mo",1,,-1.9916666666667,1.7804166666667,90,0,0,232,,3127.52671
"2017-01-10","2017","01",2,"Di",2,,-0.285,5.1195833333333,92.666666666667,1,7.5,0,,1104.81482
"2017-01-11","2017","01",2,"Mi",3,,-0.45208333333333,10.740416666667,88.75,0,1.6,217,,1994.81483
"2017-01-12","2017","01",2,"Do",4,,4.4708333333333,8.5283333333333,86.666666666667,0,1.7,14,,3683.02251
"2017-01-13","2017","01",2,"Fr",5,,1.0133333333333,12.12125,79.958333333333,1,2.9,225,,3227.9341
"2017-01-14","2017","01",2,"Sa",6,,-1.2720833333333,12.3525,90.666666666667,1,7.9,0,,9272.16386
"2017-01-15","2017","01",2,"So",7,,-1.9829166666667,5.8870833333333,88.958333333333,1,3.3,0,,6490.93794
"2017-01-16","2017","01",3,"Mo",1,,-3.2641666666667,4.0166666666667,81.041666666667,1,1.3,61,,2235.06771
"2017-01-17","2017","01",3,"Di",2,,-3.7683333333333,10.722083333333,81.625,0,0.1,258,,1875.59576
"2017-01-18","2017","01",3,"Mi",3,,-3.9408333333333,12.32,77.875,0,0,437,,1292.5
"2017-01-19","2017","01",3,"Do",4,,-3.8729166666667,6.56625,84.208333333333,0,0,280,,2969.47657
"2017-01-20","2017","01",3,"Fr",5,,-1.9275,2.3679166666667,78.541666666667,0,0,372,,5142.07727
"2017-01-21","2017","01",3,"Sa",6,,-0.27458333333333,1.0758333333333,75.291666666667,0,0,549,,6080.02655
"2017-01-22","2017","01",3,"So",7,,0.08625,0.48208333333333,80.416666666667,0,0,537,,7273.26727
"2017-01-23","2017","01",4,"Mo",1,,-1.43375,1.355,86.708333333333,0,0,518,,2416.75929
